id,school,subject,title,prompt,description,elements,
es-komu-01,elementary,校務,学級通信を作成する,"あなたは小学校5年生の担任です。
今週の学級通信を作成してください。
内容は、今週の授業の様子、特に算数の授業で新しい単元「割合」に入り、児童たちが意欲的に学んでいることを中心に書いてください。
形式は、児童や保護者が読みやすいように、適度に改行や絵文字を入れてください。
語調は、児童たちを褒めることを中心に、親しみやすく、かつ成長を促すような文章にしてください。
600字程度で作成してください。",学級通信の作成時間を短縮し、より魅力的な通信を作成できます。,"人物,内容,形式や語調,制約",0
es-komu-02,elementary,校務,運動会のお知らせを作成する,"あなたは小学校の教員として、保護者向けの運動会のお知らせを作成します。
お知らせは、保護者に親しみやすく、かつ丁寧な言葉遣いで作成してください。子どもたちの頑張りが伝わるような、活気のある表現を心がけ、箇条書きや表などを活用して読みやすくしてください。
A4用紙1枚に収まるように作成し、運動会のテーマやスローガン、学校の連絡先を明記してください。",保護者向け文書のたたき台を瞬時に作成できます。,"人物,内容,形式や語調,制約",
es-komu-03,elementary,校務,保護者面談の記録を作成する,"あなたは小学校の教員です。A君の保護者と面談を行いました。以下の面談内容を、今後の指導に活かせるように記録としてまとめてください。
・家庭での様子：毎日元気に過ごしているが、ゲームの時間が長くなりがち。
・学校での様子：友達と仲良く遊んでいるが、授業中の集中力が課題。
・保護者からの要望：宿題への声かけを強めてほしい。
客観的な事実と、教員の所感を分けて記述してください。",面談記録を構造化し、後の振り返りや情報共有を容易にします。,"人物,内容,形式や語調",
es-kokugo-01,elementary,国語,「地域の魅力を伝えよう」のルーブリック作成,"私は、公立小学校で教員です。
担当している小学5年生の生徒たちに書くことの指導をするために、ルーブリックを作成したいと思っています。
単元名は「地域の魅力を伝えよう」です。
小学5年生でもわかるような表現でルーブリックを表形式で作成してください。
評価内容は、「小学校学習指導要領(平成29年告示)」における、該当学年の「書くこと」の指導事項を踏まえて作成してください。",評価基準を明確にし、児童の自己評価を促します。,"人物,内容,形式や語調,制約",
es-kokugo-02,elementary,国語,新出漢字の練習プリントを作成する,"あなたは小学校3年生の担任です。
新出漢字「駅」「橋」「銀」を使った短文作成の練習プリントを作成してください。
児童が楽しく取り組めるように、クイズ形式や穴埋め形式の問題を3問ずつ、合計9問作成してください。
解答もつけてください。",児童が飽きないような多様な形式の漢字練習プリントを作成できます。,"人物,内容,制約",
es-kokugo-03,elementary,国語,物語の続きを創作するアイデア出し,"小学校4年生の国語の授業で、物語「ごんぎつね」の続きを創作する活動を行います。
児童の創作意欲を刺激するような、続きの物語のアイデアを3つの異なるパターンで提案してください。
それぞれのパターンで、ごんが助かっていた場合の展開と、兵十がごんの優しさを知った後の展開を含めてください。",物語の続きを考える授業で、児童の発想を広げるためのヒントを提供します。,"人物,内容,形式や語調",
es-sansu-01,elementary,算数,図形の面積の文章問題を作成,"あなたは小学校5年生の担任です。
算数の「図形の面積」の単元で、児童が楽しく取り組めるような文章問題を作成してください。
身近なもの（例：教室の机、校庭の遊具など）を題材にして、創造性を刺激するような問題にしてください。
問題は3問作成し、それぞれ解答と簡単な解説もつけてください。",児童の興味を引くようなオリジナルの文章問題を作成できます。,"人物,内容,制約",
es-sansu-02,elementary,算数,計算練習ゲームのアイデアを考える,"あなたは小学校の教員です。
低学年の児童が、足し算と引き算の計算に親しめるような、教室でできる簡単なゲームのアイデアを3つ提案してください。
体を使ったり、グループで競ったりするような、遊びの要素を取り入れてください。",計算が苦手な子も楽しめる、アクティブな学習活動のアイデアを得られます。,"人物,内容",
es-sansu-03,elementary,算数,わり算のつまずきポイントを解説する,"あなたは算数専門の教員です。
小学校4年生で学習する「あまりのあるわり算」について、児童が特につまずきやすいポイントを3つ挙げ、それぞれをどのように指導すればよいか、具体的な発問例を交えて解説してください。",児童のつまずきを予測し、効果的な指導法を事前に準備できます。,"人物,内容,形式や語調",
es-rika-01,elementary,理科,天体の授業計画を作成する,"私は小学校6年生の教員です。
理科の天体の授業計画を作成してください。授業時間は45分です。
授業計画には、児童の興味を引くような身近な例を用いた問題、ペアワーク、全体活動、日常生活や他の学習との関連づけ、が含まれるようにしてください。
具体的な発問や指示、児童の反応を想定した時間配分、使用する教材などを詳細に記述してください。",児童の主体的な学びを促す授業案を作成できます。,"人物,内容,制約",
es-rika-02,elementary,理科,自由研究のテーマを提案する,"あなたは小学校の理科担当教員です。
小学5年生が夏休みに行う自由研究のテーマで、家で簡単にできて、かつ科学的な探究心が育つようなテーマを5つ提案してください。
「準備物」「方法」「まとめ方のヒント」をそれぞれ簡潔に示してください。",自由研究のテーマ探しに悩む児童や保護者への具体的なヒントを提供できます。,"人物,内容,制約",
es-rika-03,elementary,理科,植物の観察日記のフォーマット作成,"あなたは小学校3年生の担任です。
理科の授業でアサガオを育てて観察します。児童が観察したことを記録するための「かんさつにっき」のフォーマットを作成してください。
「日付」「天気」「せのたかさ」「はっぱのかず」「きがついたこと」などの項目を設け、低学年の児童でも書きやすいように、イラストを描くスペースも確保してください。",観察の視点を明確にし、児童が記録を取りやすくするためのワークシートを作成できます。,"人物,内容,形式や語調",
es-shakai-01,elementary,社会,歴史上の人物紹介カード作成,"私は小学校6年生の担任です。
社会科の歴史の授業で、児童が「織田信長」について調べるためのワークシートを作成してください。
調べる項目として、「いつの時代の人か」「主な出来事」「性格がわかるエピソード」「現代に残る影響」などを入れてください。
児童がまとめやすいように、イラストを描くスペースも設けてください。",調べ学習用のワークシートを簡単に作成できます。,"人物,内容,形式や語調",
es-shakai-02,elementary,社会,都道府県クイズを作成する,"あなたは社会科の教員です。
小学4年生が日本の都道府県について楽しく学べるような3択クイズを10問作成してください。
各都道府県の特産品、有名な場所、形などをヒントにした問題にしてください。
解答と簡単な解説もつけてください。",授業の導入やまとめで使える、楽しいクイズを簡単に作成できます。,"人物,内容,制約",1
es-shakai-03,elementary,社会,スーパーマーケットの工夫を調べる,"あなたは小学校3年生の担任です。
社会科の「スーパーマーケットではたらく人びと」の学習で、児童がお店の工夫を見つけるためのワークシートを作成してください。
「品物の並べ方」「お客さんを呼び込むための工夫」「働いている人の工夫」という観点で、気づいたことをメモできるような表形式にしてください。",見学学習で児童が目的意識を持って観察するための視点を提供します。,"人物,内容,形式や語調",
